temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,event_datetime,event_latitude,event_longitude,time,state,county,caused_power_outage,event_type
-0.9,-9.3,53,0,0,0,0.01,2.8,6.4,40,27,10.1,937.6,45,0,43,3,1.4,3.6,4.4,4.9,0.479,0.489,0.483,0.495,25/03/14 4:00,37.2377673,-80.0759642,25/03/14 4:00,new hampshire,eastern hillsborough,0,heavy_snow
1.1,-5.2,63,0,0,0,0,5.5,9.4,157,157,7.2,981.5,19,0,7,16,2.9,5.5,6,6.4,0.478,0.489,0.481,0.494,25/03/14 4:00,37.0527719,-79.8813093,25/03/14 4:00,wisconsin,kewaunee,0,heavy_snow
1.3,-5,63,0,0,0,0,3.3,9,193,178,7.6,976.3,5,0,0,3,2.7,4.8,5.3,5.6,0.478,0.489,0.479,0.498,25/03/14 4:00,37.3123905,-79.5399003,25/03/14 4:00,virginia,franklin,0,heavy_snow
-0.9,-3.8,81,0,0,0,0.14,10.8,15.9,268,267,29.5,987.2,100,23,96,99,-1.3,-0.9,0.7,5.7,0.392,0.38,0.391,0.379,14/02/14 15:00,38.6727039,-85.7444145,14/02/14 15:00,virginia,bedford,0,heavy_snow
-1,-4.5,77,0,0,0,0.16,7.6,10.4,270,268,32,977.9,100,4,66,99,-1.4,-1.1,0.5,5.4,0.371,0.374,0.387,0.363,14/02/14 16:00,38.8166724,-85.4299489,14/02/14 16:00,tennessee,bledsoe,0,heavy_snow
0.2,-0.5,95,0.2,0.2,0,0.01,12.4,21.7,352,353,25.9,996.5,100,100,100,97,0.5,-0.4,2.2,8.8,0.448,0.487,0.48,0.472,02/02/14 17:00,37.9313371,-86.1902231,02/02/14 17:00,indiana,jefferson,0,heavy_snow
0.6,0.5,99,0.2,0.2,0,0,12.4,21.4,352,352,25.9,995.8,100,100,99,94,0.8,-0.1,2.4,9.1,0.489,0.503,0.482,0.489,02/02/14 17:00,37.6645815,-85.9634901,02/02/14 17:00,kentucky,meade,0,heavy_snow
7.9,-7,34,0,0,0,0,19,25.9,61,61,32.4,943.2,35,0,0,34,8.3,4.1,2.9,6.7,0.279,0.264,0.194,0.187,22/02/14 23:00,39.7961542,-99.346586,22/02/14 23:00,north dakota,burleigh,0,heavy_snow
-2.9,-11.8,51,0,0,0,0,15.5,22.8,355,355,29.2,1013.2,94,0,3,93,0.3,2,3.8,8.8,0.373,0.386,0.399,0.352,21/01/14 8:15,40.6878458,-73.7733491,21/01/14 8:00,illinois,rock island,0,heavy_snow
-3.7,-13.2,48,0,0,0,0,12.6,19.1,2,2,25.6,1011.7,95,0,20,92,-0.3,1.1,3,7.4,0.272,0.282,0.305,0.288,21/01/14 9:30,40.8245238,-73.8917657,21/01/14 9:00,new york,monroe,0,heavy_snow
-1.4,-6.5,68,0,0,0,0,12,21.4,33,33,21.2,1009.8,91,0,9,90,0.5,2.3,3.9,9,0.381,0.387,0.399,0.366,21/01/14 8:30,39.9659459,-74.8498866,21/01/14 8:00,maine,central somerset,0,heavy_snow
0.6,-0.1,95,0.4,0.3,0.07,0.01,11.3,19.2,351,354,25.2,990.1,100,100,100,98,0.3,-1.1,1,7.1,0.412,0.414,0.387,0.37,02/02/14 18:00,38.447983,-85.1191168,02/02/14 18:00,oregon,northern oregon coast,0,heavy_snow
0.7,0.6,100,0.2,0.2,0,0.01,12.8,21.7,344,348,23.4,993.3,100,100,100,95,0.4,-1.3,0.8,6.9,0.42,0.413,0.389,0.38,02/02/14 17:00,38.2215625,-85.2111267,02/02/14 17:00,new york,orleans,0,heavy_snow
2.1,-4.8,60,0,0,0,0,3,7,104,145,4.3,981.5,30,0,9,26,3.6,6.3,6.6,7.1,0.471,0.484,0.485,0.465,25/03/14 4:00,36.6725813,-79.9242922,25/03/14 4:00,new york,southern westchester,0,heavy_snow
0.6,-6,61,0,0,0,0.01,2.3,4.7,18,90,7.6,959.9,39,0,24,24,3,5.4,5.7,6,0.474,0.486,0.472,0.495,25/03/14 4:00,36.6818706,-80.284636,25/03/14 4:00,new york,southwest suffolk,0,heavy_snow
-0.3,-7.4,59,0,0,0,0,4.6,6.3,39,77,10.4,966.5,1,0,1,0,1.5,3.9,4.6,4.9,0.479,0.489,0.478,0.5,25/03/14 5:00,37.5997548,-79.1483701,25/03/14 5:00,rhode island,western kent,0,heavy_snow
1.2,-5.9,59,0,0,0,0,6.1,15.1,177,179,9.7,986.1,17,0,4,17,2.8,5.3,6.2,6.7,0.474,0.486,0.483,0.492,25/03/14 5:00,37.2158191,-79.1165953,25/03/14 5:00,kentucky,monroe,0,heavy_snow
-0.4,-5.2,70,0,0,0,0,2.9,5.9,83,166,5.8,991.7,56,0,24,55,1.4,4.5,6.1,6.7,0.478,0.488,0.482,0.493,25/03/14 6:00,37.379893,-78.7944052,25/03/14 6:00,new jersey,eastern union,0,heavy_snow
0,-1,93,0.1,0,0.07,0.01,14.5,23.3,346,347,27.4,993.6,100,100,100,99,0,-1.6,0.5,6.8,0.411,0.415,0.386,0.368,02/02/14 17:00,38.4047685,-85.4768315,02/02/14 17:00,washington,okanogan highlands,0,heavy_snow
0.6,0.5,100,0.2,0.2,0,0.01,12.9,22,347,350,24.5,1003.4,100,100,100,96,0.6,-0.5,1.4,7.5,0.42,0.411,0.386,0.366,02/02/14 17:00,37.9749498,-85.6742394,02/02/14 17:00,new jersey,western union,0,heavy_snow
0.1,-0.9,93,0.1,0.1,0,0,13.9,23.2,343,347,27.4,1002.8,100,100,100,98,0.4,-0.4,1.9,8.4,0.412,0.455,0.447,0.434,02/02/14 16:00,37.8189002,-86.7532261,02/02/14 16:00,pennsylvania,somerset,0,heavy_snow
